Row Labels,Category,Sum of Businesses Jul 2011,Sum of Businesses Jul 2016,Sum of Openings,Sum of Closures,Sum of Units Net Change,Average of Net Change %,PROPER % CHANGE,National % change,Difference (POINTS),10 cities % change,Difference (POINTS)
Restaurant - German,Restaurants,0,1,0,0,1,0,#DIV/0!,#N/A,#N/A,#N/A,#N/A
Restaurant - Oceanic,Restaurants,0,3,0,0,3,0,#DIV/0!,#REF!,#REF!,NOT IN DATA,#VALUE!
Restaurant - Scottish,Restaurants,0,2,0,0,2,0,#DIV/0!,#N/A,#N/A,#N/A,#N/A
Restaurant - Sudanese,Restaurants,0,0,0,0,0,0,#DIV/0!,#N/A,#N/A,#N/A,#N/A
Restaurant - South American,Restaurants,10,31,3.916666667,1.333333333,21,21.52777778,210.0%,#REF!,#REF!,25%,185.0%
Restaurant - Austrian,Restaurants,1,3,1,0,2,33.33333333,200.0%,#N/A,#N/A,#N/A,#N/A
Restaurant - Vegan,Restaurants,1,3,0,0,2,0,200.0%,#REF!,#REF!,NOT IN DATA,#VALUE!
Restaurant - Asian,Restaurants,24,59,12.93055556,8.583333333,35,15.52579365,145.8%,#REF!,#REF!,20%,125.8%
Restaurant - English,Restaurants,50,110,12.82222222,7.277777778,60,12.6010101,120.0%,#REF!,#REF!,-38%,158.5%
Restaurant - American,Restaurants,159,319,24.66927536,10.80376812,160,18.73717195,100.6%,#REF!,#REF!,132%,-31.5%
Restaurant - Afghan,Restaurants,8,16,6,4.333333333,8,13.88888889,100.0%,#N/A,#N/A,#N/A,#N/A
Restaurant - Middle Eastern,Restaurants,37,74,8.630952381,9.238095238,37,-2.248677249,100.0%,#REF!,#REF!,0%,100.0%
Restaurant - Philippine,Restaurants,2,4,2,1,2,25,100.0%,#REF!,#REF!,-100%,200.0%
Juice Bars,Cafes & Fast Food,58,114,13.13666667,17.7,56,-11.40833333,96.6%,#REF!,#REF!,6%,90.7%
Restaurant - Eastern European,Restaurants,10,19,2.25,3.333333333,9,-7.222222222,90.0%,#REF!,#REF!,NOT IN DATA,#VALUE!
Indian Takeaway,Cafes & Fast Food,85,161,10.953125,14.97395833,76,-8.041666667,89.4%,#REF!,#REF!,63%,26.9%
"Cake Makers, Decorators & Supplies",Cafes & Fast Food,63,97,6.615591398,12.11290323,34,-10.37228647,54.0%,#REF!,#REF!,40%,14.0%
Chinese Fast Food Takeaway,Cafes & Fast Food,184,279,12.7373146,10.80796253,95,2.796162418,51.6%,#REF!,#REF!,113%,-60.9%
Restaurant - Brazilian,Restaurants,22,33,3.057142857,4.071428571,11,-6.339285714,50.0%,#REF!,#REF!,43%,7.1%
Restaurant - Colombian,Restaurants,6,9,4.5,1.5,3,50,50.0%,#N/A,#N/A,#N/A,#N/A
Party Venues & Function Rooms,Entertainment,64,94,6.0625,6.495689655,30,-1.493757432,46.9%,#REF!,#REF!,50%,-3.1%
Restaurant - Vietnamese,Restaurants,78,114,13.69761905,12.54761905,36,2.875,46.2%,#REF!,#REF!,400%,-353.8%
Restaurant - Argentinian,Restaurants,28,40,7.316666667,5.1,12,13.85416667,42.9%,#REF!,#REF!,100%,-57.1%
Restaurant - Mexican/Tex Mex,Restaurants,97,138,18.05,21.70555556,41,-6.646464646,42.3%,#REF!,#REF!,107%,-64.9%
Information Centre,Entertainment,13,18,2.928571429,2.428571429,5,4.166666667,38.5%,#REF!,#REF!,-44%,82.2%
Pizza Takeaway,Cafes & Fast Food,363,499,33.21840537,15.9612767,136,13.54760722,37.5%,#REF!,#REF!,160%,-122.5%
Restaurant - Pizzeria,Restaurants,173,237,20.51655081,24.61560741,64,-4.822419534,37.0%,#REF!,#REF!,6%,30.5%
Restaurant - Swedish,Restaurants,3,4,0,0.3333333333,1,-11.11111111,33.3%,#N/A,#N/A,#N/A,#N/A
Restaurant - British,Restaurants,203,268,18.20555556,15.28055556,65,5.131578947,32.0%,#REF!,#REF!,87%,-54.6%
Lounge Bars,"Bars, Pubs & Clubs",20,26,1.9,1.35,6,3.055555556,30.0%,#REF!,#REF!,500%,-470.0%
Casino Clubs,"Bars, Pubs & Clubs",22,28,1.01754386,0.5789473684,6,7.30994152,27.3%,#REF!,#REF!,-11%,37.8%
Coffee Shops,Cafes & Fast Food,786,997,55.90909091,26.13582407,211,21.41961643,26.8%,#REF!,#REF!,17%,9.7%
Restaurant - Japanese,Restaurants,300,375,32.6797619,29.30707071,75,4.750269293,25.0%,#REF!,#REF!,32%,-6.8%
Restaurant - Turkish,Restaurants,196,245,42.26139887,44.8153688,49,-2.837744369,25.0%,#REF!,#REF!,33%,-8.3%
Sports Grounds & Stadiums,Entertainment,28,35,0.3461538462,1.038461538,7,-23.07692308,25.0%,#REF!,#REF!,0%,25.0%
